Solution 1:
Total Switches: 835
Boundary Edges (580):
  init_interesting:227 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  init_interesting:227 -> hash_table_put:425, Weight: 0, Domains: 0 -> 1
  init_interesting:227 -> hash_table_destroy:308, Weight: 0, Domains: 0 -> 1
  blacklist_contains:178 -> url_unescape:220, Weight: 0, Domains: 0 -> 1
  gethttp:2962 -> gethttp:2966, Weight: 2, Domains: 1 -> 0
  retrieve_from_file:1093 -> url_free:1207, Weight: 0, Domains: 0 -> 1
  retrieve_from_file:1093 -> getproxy:1290, Weight: 0, Domains: 0 -> 1
  sepstring:262 -> strdupdelim:242, Weight: 2, Domains: 0 -> 1
  url_file_name:1663 -> url_file_name:1664, Weight: 2, Domains: 0 -> 1
  gethttp:3225 -> resp_header_copy:734, Weight: 2, Domains: 1 -> 0
  aprintf:312 -> aprintf:313, Weight: 7, Domains: 0 -> 1
  initialize_request:1863 -> request_set_header:231, Weight: 0, Domains: 1 -> 0
  initialize_request:1863 -> aprintf:307, Weight: 0, Domains: 1 -> 0
  gethttp:3134 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3134 -> warc_write_request_record:1309, Weight: 0, Domains: 1 -> 0
  gethttp:3134 -> warc_timestamp:607, Weight: 0, Domains: 1 -> 0
  hash_table_put:436 -> grow_hash_table:382, Weight: 0, Domains: 1 -> 0
  url_escape_1:246 -> url_escape_1:247, Weight: 4, Domains: 0 -> 1
  url_parse:730 -> reencode_escapes:411, Weight: 0, Domains: 1 -> 0
  retrieve_url:859 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  retrieve_url:859 -> url_error:983, Weight: 0, Domains: 1 -> 0
  retrieve_url:859 -> url_parse:697, Weight: 1, Domains: 1 -> 0
  retrieve_url:859 -> uri_merge:1956, Weight: 1, Domains: 1 -> 0
  convert_fname:1548 -> convert_fname:1549, Weight: 2, Domains: 0 -> 1
  check_file_output:2233 -> url_file_name:1659, Weight: 0, Domains: 1 -> 0
  check_file_output:2233 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  check_file_output:2233 -> parse_content_disposition:1212, Weight: 0, Domains: 1 -> 0
  check_file_output:2233 -> resp_header_copy:734, Weight: 0, Domains: 1 -> 0
  escnonprint_uri:870 -> escnonprint_internal:796, Weight: 0, Domains: 1 -> 0
  find_chains_of_host:842 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  calc_rate:665 -> ptimer_resolution:412, Weight: 0, Domains: 1 -> 0
  cache_remove:646 -> address_list_release:315, Weight: 0, Domains: 0 -> 1
  hash_table_iter_next:569 -> hash_table_iter_next:577, Weight: 3, Domains: 1 -> 0
  cleanup:1856 -> log_close:656, Weight: 1, Domains: 1 -> 0
  cookie_jar_save:1320 -> hash_table_iter_next:567, Weight: 0, Domains: 0 -> 1
  cookie_jar_save:1320 -> hash_table_iterate:551, Weight: 0, Domains: 0 -> 1
  gethttp:3399 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  gethttp:3399 -> parse_strict_transport_security:1271, Weight: 2, Domains: 1 -> 0
  gethttp:3399 -> hsts_store_entry:434, Weight: 0, Domains: 1 -> 0
  gethttp:3399 -> resp_header_strdup:752, Weight: 2, Domains: 1 -> 0
  name_allowed:784 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  fd_read_line:620 -> fd_read_hunk:500, Weight: 0, Domains: 0 -> 1
  socket_family:611 -> socket_family:613, Weight: 1, Domains: 0 -> 1
  dot_finish:399 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  gethttp:3065 -> warc_tempfile:1258, Weight: 0, Domains: 1 -> 0
  gethttp:3065 -> socket_ip_address:555, Weight: 0, Domains: 1 -> 0
  gethttp:3065 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  append_dir_structure:1639 -> append_char:1332, Weight: 0, Domains: 0 -> 1
  dot_finish:395 -> dot_finish:397, Weight: 0, Domains: 0 -> 1
  gethttp:3421 -> resp_header_strdup:752, Weight: 2, Domains: 1 -> 0
  cache_remove:645 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  aprintf:313 -> memfatal:121, Weight: 0, Domains: 1 -> 0
  retrieve_url:956 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  retrieve_url:956 -> url_parse:697, Weight: 0, Domains: 1 -> 0
  gethttp:3590 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  gethttp:3590 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3590 -> http_atotm:4477, Weight: 0, Domains: 1 -> 0
  getftp:1015 -> number_to_static_string:1799, Weight: 0, Domains: 0 -> 1
  getftp:1015 -> datetime_str:453, Weight: 0, Domains: 0 -> 1
  getftp:1015 -> fd_read_body:231, Weight: 0, Domains: 0 -> 1
  address_list_release:316 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  register_basic_auth_host:449 -> hash_table_contains:372, Weight: 0, Domains: 0 -> 1
  register_basic_auth_host:449 -> hash_table_put:425, Weight: 0, Domains: 0 -> 1
  connect_to_ip:273 -> escnonprint_uri:870, Weight: 1, Domains: 0 -> 1
  uri_merge:1958 -> uri_merge:1960, Weight: 1, Domains: 0 -> 1
  check_redirect_output:919 -> redirect_output:891, Weight: 0, Domains: 1 -> 0
