Solution 1:
Total Switches: 146
Boundary Edges (200):
  env_init:1880 -> env_init:1881, Weight: 2, Domains: 1 -> 0
  shell:1571 -> setcommandmode:275, Weight: 0, Domains: 0 -> 1
  bye:1645 -> bye:1649, Weight: 1, Domains: 1 -> 0
  ExitString:1065 -> SetForExit:1027, Weight: 0, Domains: 0 -> 1
  TerminalSpeeds:883 -> TerminalSpeeds:884, Weight: 1, Domains: 0 -> 1
  sendbrk:2758 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  doflush:2668 -> printoption:209, Weight: 0, Domains: 0 -> 1
  getconnmode:219 -> getconnmode:232, Weight: 13, Domains: 1 -> 0
  logout:1664 -> netflush:153, Weight: 0, Domains: 0 -> 1
  get_status:2730 -> ring_supply_data:318, Weight: 0, Domains: 0 -> 1
  get_status:2730 -> ring_empty_count:226, Weight: 0, Domains: 0 -> 1
  get_status:2730 -> printsub:346, Weight: 0, Domains: 0 -> 1
  TerminalSpeeds:870 -> TerminalSpeeds:872, Weight: 1, Domains: 0 -> 1
  ttyflush:155 -> Dump:153, Weight: 0, Domains: 1 -> 0
  TerminalWindowSize:897 -> TerminalWindowSize:899, Weight: 1, Domains: 0 -> 1
  cmdrc:3073 -> cmdrc:3074, Weight: 0, Domains: 0 -> 1
  cmdrc:3090 -> cmdrc:3095, Weight: 0, Domains: 1 -> 0
  lm_mode:1226 -> ring_supply_data:318, Weight: 0, Domains: 0 -> 1
  lm_mode:1226 -> printsub:346, Weight: 0, Domains: 0 -> 1
  lm_mode:1226 -> ring_empty_count:226, Weight: 0, Domains: 0 -> 1
  env_getvalue:2050 -> env_getvalue:2052, Weight: 4, Domains: 1 -> 0
  SetForExit:1034 -> telrcv:1814, Weight: 1, Domains: 1 -> 0
  env_init:1882 -> env_init:1887, Weight: 0, Domains: 0 -> 1
  env_init:1923 -> env_unexport:1983, Weight: 0, Domains: 1 -> 0
  intr:959 -> setcommandmode:275, Weight: 0, Domains: 0 -> 1
  env_opt:1587 -> env_opt:1589, Weight: 0, Domains: 0 -> 1
  env_opt:1589 -> env_opt_add:1695, Weight: 0, Domains: 1 -> 0
  env_opt:1589 -> env_opt_end:1786, Weight: 0, Domains: 1 -> 0
  env_opt_add:1695 -> env_opt_add:1697, Weight: 1, Domains: 0 -> 1
  env_opt_add:1712 -> env_getvalue:2049, Weight: 0, Domains: 0 -> 1
  lm_do:1173 -> printsub:346, Weight: 0, Domains: 0 -> 1
  lm_do:1173 -> ring_empty_count:226, Weight: 0, Domains: 0 -> 1
  lm_do:1173 -> ring_supply_data:318, Weight: 0, Domains: 0 -> 1
  telnet:2442 -> telnet:2445, Weight: 1, Domains: 0 -> 1
  env_send:2003 -> env_find:1867, Weight: 0, Domains: 0 -> 1
  env_undefine:1960 -> env_find:1867, Weight: 0, Domains: 0 -> 1
  printoption:209 -> printoption:211, Weight: 10, Domains: 1 -> 0
  env_unexport:1983 -> env_find:1867, Weight: 0, Domains: 0 -> 1
  getcmd:2935 -> getcmd:2937, Weight: 1, Domains: 1 -> 0
  call:2921 -> call:2925, Weight: 2, Domains: 1 -> 0
  TerminalWindowSize:899 -> TerminalWindowSize:906, Weight: 1, Domains: 1 -> 0
  gettermname:791 -> upcase:88, Weight: 0, Domains: 1 -> 0
  gettermname:791 -> mklist:618, Weight: 0, Domains: 1 -> 0
  lm_mode:1234 -> setconnmode:243, Weight: 0, Domains: 0 -> 1
  telrcv:1822 -> stilloob:98, Weight: 0, Domains: 1 -> 0
  telrcv:1822 -> sendnaws:2824, Weight: 1, Domains: 1 -> 0
  telrcv:1822 -> wontoption:382, Weight: 0, Domains: 1 -> 0
  telrcv:1822 -> dontoption:558, Weight: 0, Domains: 1 -> 0
  init_term:776 -> init_term:778, Weight: 0, Domains: 1 -> 0
  init_terminal:122 -> TerminalAutoFlush:166, Weight: 2, Domains: 1 -> 0
  intp:2742 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  toggle:931 -> ttyflush:140, Weight: 0, Domains: 0 -> 1
  sendnaws:2839 -> sendnaws:2841, Weight: 1, Domains: 0 -> 1
  lm_will:1128 -> printsub:346, Weight: 0, Domains: 0 -> 1
  lm_will:1128 -> ring_empty_count:226, Weight: 0, Domains: 0 -> 1
  lm_will:1128 -> ring_supply_data:318, Weight: 0, Domains: 0 -> 1
  command:3017 -> setconnmode:243, Weight: 0, Domains: 0 -> 1
  makeargv:144 -> makeargv:146, Weight: 1, Domains: 0 -> 1
  makeargv:146 -> makeargv:147, Weight: 1, Domains: 1 -> 0
  makeargv:147 -> makeargv:148, Weight: 1, Domains: 0 -> 1
  control:259 -> control:278, Weight: 1, Domains: 1 -> 0
